,index,gamePk,link,gameType,season,gameDate,status,teams,venue,content
23,2,2019020020,/api/v1/game/2019020020/feed/live,R,20192020,2019-10-05T23:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 2, 'losses': 0, 'ot': 0, 'type': 'league'}, 'score': 4, 'team': {'id': 3, 'name': 'New York Rangers', 'link': '/api/v1/teams/3'}}, 'home': {'leagueRecord': {'wins': 0, 'losses': 2, 'ot': 0, 'type': 'league'}, 'score': 1, 'team': {'id': 9, 'name': 'Ottawa Senators', 'link': '/api/v1/teams/9'}}}","{'id': 5031, 'name': 'Canadian Tire Centre', 'link': '/api/v1/venues/5031'}",{'link': '/api/v1/game/2019020020/content'}
24,3,2019020021,/api/v1/game/2019020021/feed/live,R,20192020,2019-10-05T23:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 1, 'losses': 1, 'ot': 0, 'type': 'league'}, 'score': 3, 'team': {'id': 14, 'name': 'Tampa Bay Lightning', 'link': '/api/v1/teams/14'}}, 'home': {'leagueRecord': {'wins': 1, 'losses': 1, 'ot': 0, 'type': 'league'}, 'score': 4, 'team': {'id': 13, 'name': 'Florida Panthers', 'link': '/api/v1/teams/13'}}}","{'id': 5027, 'name': 'BB&T Center', 'link': '/api/v1/venues/5027'}",{'link': '/api/v1/game/2019020021/content'}
25,4,2019020022,/api/v1/game/2019020022/feed/live,R,20192020,2019-10-05T23:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 0, 'losses': 2, 'ot': 0, 'type': 'league'}, 'score': 2, 'team': {'id': 29, 'name': 'Columbus Blue Jackets', 'link': '/api/v1/teams/29'}}, 'home': {'leagueRecord': {'wins': 1, 'losses': 1, 'ot': 0, 'type': 'league'}, 'score': 7, 'team': {'id': 5, 'name': 'Pittsburgh Penguins', 'link': '/api/v1/teams/5'}}}","{'id': 5034, 'name': 'PPG Paints Arena', 'link': '/api/v1/venues/5034'}",{'link': '/api/v1/game/2019020022/content'}
26,5,2019020023,/api/v1/game/2019020023/feed/live,R,20192020,2019-10-05T23:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 2, 'losses': 0, 'ot': 0, 'type': 'league'}, 'score': 3, 'team': {'id': 12, 'name': 'Carolina Hurricanes', 'link': '/api/v1/teams/12'}}, 'home': {'leagueRecord': {'wins': 2, 'losses': 0, 'ot': 1, 'type': 'league'}, 'score': 2, 'team': {'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}}}","{'id': 5094, 'name': 'Capital One Arena', 'link': '/api/v1/venues/5094'}",{'link': '/api/v1/game/2019020023/content'}
27,6,2019020024,/api/v1/game/2019020024/feed/live,R,20192020,2019-10-06T00:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 0, 'losses': 2, 'ot': 0, 'type': 'league'}, 'score': 2, 'team': {'id': 25, 'name': 'Dallas Stars', 'link': '/api/v1/teams/25'}}, 'home': {'leagueRecord': {'wins': 1, 'losses': 0, 'ot': 1, 'type': 'league'}, 'score': 3, 'team': {'id': 19, 'name': 'St. Louis Blues', 'link': '/api/v1/teams/19'}}}","{'id': 5076, 'name': 'Enterprise Center', 'link': '/api/v1/venues/5076'}",{'link': '/api/v1/game/2019020024/content'}
28,7,2019020025,/api/v1/game/2019020025/feed/live,R,20192020,2019-10-06T00:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 1, 'losses': 0, 'ot': 0, 'type': 'league'}, 'score': 5, 'team': {'id': 17, 'name': 'Detroit Red Wings', 'link': '/api/v1/teams/17'}}, 'home': {'leagueRecord': {'wins': 1, 'losses': 1, 'ot': 0, 'type': 'league'}, 'score': 3, 'team': {'id': 18, 'name': 'Nashville Predators', 'link': '/api/v1/teams/18'}}}","{'id': 5030, 'name': 'Bridgestone Arena', 'link': '/api/v1/venues/5030'}",{'link': '/api/v1/game/2019020025/content'}
29,8,2019020026,/api/v1/game/2019020026/feed/live,R,20192020,2019-10-06T01:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 0, 'losses': 2, 'ot': 0, 'type': 'league'}, 'score': 2, 'team': {'id': 30, 'name': 'Minnesota Wild', 'link': '/api/v1/teams/30'}}, 'home': {'leagueRecord': {'wins': 2, 'losses': 0, 'ot': 0, 'type': 'league'}, 'score': 4, 'team': {'id': 21, 'name': 'Colorado Avalanche', 'link': '/api/v1/teams/21'}}}","{'id': 5064, 'name': 'Pepsi Center', 'link': '/api/v1/venues/5064'}",{'link': '/api/v1/game/2019020026/content'}
30,9,2019020027,/api/v1/game/2019020027/feed/live,R,20192020,2019-10-06T01:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 2, 'losses': 0, 'ot': 0, 'type': 'league'}, 'score': 1, 'team': {'id': 6, 'name': 'Boston Bruins', 'link': '/api/v1/teams/6'}}, 'home': {'leagueRecord': {'wins': 0, 'losses': 2, 'ot': 0, 'type': 'league'}, 'score': 0, 'team': {'id': 53, 'name': 'Arizona Coyotes', 'link': '/api/v1/teams/53'}}}","{'id': 5043, 'name': 'Gila River Arena', 'link': '/api/v1/venues/5043'}",{'link': '/api/v1/game/2019020027/content'}
31,10,2019020028,/api/v1/game/2019020028/feed/live,R,20192020,2019-10-06T02:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 0, 'losses': 2, 'ot': 0, 'type': 'league'}, 'score': 0, 'team': {'id': 23, 'name': 'Vancouver Canucks', 'link': '/api/v1/teams/23'}}, 'home': {'leagueRecord': {'wins': 1, 'losses': 1, 'ot': 0, 'type': 'league'}, 'score': 3, 'team': {'id': 20, 'name': 'Calgary Flames', 'link': '/api/v1/teams/20'}}}","{'id': 5075, 'name': 'Scotiabank Saddledome', 'link': '/api/v1/venues/5075'}",{'link': '/api/v1/game/2019020028/content'}
32,11,2019020029,/api/v1/game/2019020029/feed/live,R,20192020,2019-10-06T02:00:00Z,"{'abstractGameState': 'Final', 'codedGameState': '7', 'detailedState': 'Final', 'statusCode': '7', 'startTimeTBD': False}","{'away': {'leagueRecord': {'wins': 0, 'losses': 1, 'ot': 0, 'type': 'league'}, 'score': 5, 'team': {'id': 26, 'name': 'Los Angeles Kings', 'link': '/api/v1/teams/26'}}, 'home': {'leagueRecord': {'wins': 2, 'losses': 0, 'ot': 0, 'type': 'league'}, 'score': 6, 'team': {'id': 22, 'name': 'Edmonton Oilers', 'link': '/api/v1/teams/22'}}}","{'id': 5100, 'name': 'Rogers Place', 'link': '/api/v1/venues/5100'}",{'link': '/api/v1/game/2019020029/content'}
